,gender,gpa,wageb,wagea,lnbwage,lnawage,gradchoice,major,hheconstat,Pedu,Poccu
300,0,3.511,8754.5391,9000,9.0773277,9.1049795,1,1,0,3,1
301,1,2.474,5471.5869,12000,8.6073236,9.392662,0,0,1,1,3
302,0,3.775,4924.4282,11000,8.5019636,9.3056507,1,1,0,2,0
303,0,2.995,2735.7935,3300,7.9141769,8.1016779,2,0,0,2,0
304,1,3.183,10943.174,23000,9.3004713,10.043249,0,0,1,2,4
305,1,3.058,7660.2217,15000,8.9437962,9.6158056,0,0,1,1,4
306,1,3.378,5471.5869,8000,8.6073236,8.9871969,0,0,0,1,4
307,0,3.345,9028.1191,11000,9.108099,9.3056507,1,0,1,3,1
308,1,3.694,10728.531,13000,9.2806616,9.4727049,1,1,0,1,3
309,0,3.572,9119.252,16000,9.1181431,9.6803436,1,1,1,3,1
310,1,3.756,8582.8252,8000,9.057518,8.9871969,1,1,0,1,3
311,0,3.123,5364.2656,7000,8.5875149,8.8536654,0,1,1,2,1
312,0,3.096,4291.4126,25000,8.3643713,10.126631,0,1,0,1,3
313,0,3.369,4827.8394,4500,8.4821539,8.4118328,1,1,0,1,1
314,0,3.873,12874.237,12000,9.4629831,9.392662,1,1,0,2,3
315,0,3.914,16092.797,15000,9.6861267,9.6158056,1,0,0,3,1
316,0,3.152,3754.9861,5000,8.2308397,8.5171928,0,0,1,1,3
317,0,3.13,8582.8252,13000,9.057518,9.4727049,1,0,1,3,1
318,0,3.032,9655.6787,8000,9.1753016,8.9871969,2,0,1,3,2
319,1,2.729,5364.2656,4000,8.5875149,8.2940493,0,0,1,3,2
320,1,3.374,10728.531,10000,9.2806616,9.2103405,1,0,0,1,4
321,1,3.403,8582.8252,12000,9.057518,9.392662,0,0,1,3,0
322,0,3.327,7509.9722,4000,8.9239874,8.2940493,0,0,1,3,2
323,0,3.544,16092.797,14000,9.6861267,9.546813,0,0,0,1,4
324,0,3.457,14483.518,15000,9.5807667,9.6158056,0,0,1,1,0
325,1,3.798,10728.531,10000,9.2806616,9.2103405,1,1,1,1,3
326,0,3.127,8582.8252,9500,9.057518,9.1590471,1,0,1,3,1
327,0,3.126,6973.5454,18000,8.8498793,9.7981272,0,0,1,3,2
328,0,3.265,5686.1216,5300,8.6457834,8.5754623,2,0,1,3,1
329,0,3.749,7509.9722,7000,8.9239874,8.8536654,1,0,1,3,1
330,0,3.618,5364.2656,8000,8.5875149,8.9871969,0,0,0,1,3
331,0,3.977,17165.65,20000,9.7506657,9.9034872,1,1,0,3,2
332,0,3.281,2574.8477,3600,7.8535457,8.1886892,0,0,0,1,3
333,0,3.203,4291.4126,5600,8.3643713,8.6305218,0,0,1,3,4
334,0,3.537,5364.2656,8000,8.5875149,8.9871969,0,0,1,2,1
335,1,2.204,7509.9722,7000,8.9239874,8.8536654,0,0,1,3,0
336,1,3.098,12874.237,12000,9.4629831,9.392662,0,0,0,2,4
337,0,3.312,8582.8252,10000,9.057518,9.2103405,0,0,0,1,3
338,1,2.644,6437.1187,20000,8.7698364,9.9034872,2,1,1,3,2
339,0,3.415,6437.1187,7000,8.7698364,8.8536654,1,1,1,3,2
340,0,3.334,10728.531,10000,9.2806616,9.2103405,1,1,1,2,4
341,1,3.436,12874.237,26000,9.4629831,10.165852,0,1,1,2,4
342,1,3.872,16092.797,25000,9.6861267,10.126631,1,1,1,3,2
343,1,3.575,5900.6924,7500,8.6828251,8.922658,1,1,1,2,2
344,0,3.694,4827.8394,6000,8.4821539,8.6995144,2,1,0,2,4
345,1,3.027,10728.531,15000,9.2806616,9.6158056,1,1,1,3,2
346,1,3.174,3218.5593,5000,8.0766888,8.5171928,1,1,1,3,1
347,1,2.876,10728.531,10000,9.2806616,9.2103405,1,1,0,1,3
348,1,3.601,5364.2656,9000,8.5875149,9.1049795,0,1,1,3,1
349,1,3.387,17702.076,17500,9.7814369,9.7699566,1,1,0,3,1
350,1,2.987,8582.8252,80000,9.057518,11.289782,0,1,1,3,1
351,0,3.658,8582.8252,5500,9.057518,8.6125031,1,1,1,3,2
352,0,3.48,42914.125,13000,10.666956,9.4727049,0,1,1,2,0
353,0,3.191,5900.6924,6000,8.6828251,8.6995144,1,1,1,3,1
354,0,3.692,7509.9722,10000,8.9239874,9.2103405,1,1,1,2,2
355,1,2.626,6437.1187,9000,8.7698364,9.1049795,0,1,0,3,1
